2023-12-26 09:32:43.720 [main] INFO  com.example.cat.CatphotoApplication - Starting CatphotoApplication using Java 17.0.6 with PID 11220 (C:\Users\USER_20211214\Desktop\cat\cat\build\classes\java\main started by song in C:\Users\USER_20211214\Desktop\cat)
2023-12-26 09:32:43.722 [main] INFO  com.example.cat.CatphotoApplication - No active profile set, falling back to 1 default profile: "default"
2023-12-26 09:32:44.181 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2023-12-26 09:32:44.182 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JDBC repositories in DEFAULT mode.
2023-12-26 09:32:44.196 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 11 ms. Found 0 JDBC repository interfaces.
2023-12-26 09:32:44.213 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2023-12-26 09:32:44.214 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2023-12-26 09:32:44.218 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 1 ms. Found 0 JPA repository interfaces.
2023-12-26 09:32:44.629 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2023-12-26 09:32:44.634 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2023-12-26 09:32:44.636 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2023-12-26 09:32:44.636 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.15]
2023-12-26 09:32:44.709 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-12-26 09:32:44.710 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 957 ms
2023-12-26 09:32:44.796 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2023-12-26 09:32:44.930 [main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection conn0: url=jdbc:h2:mem:94c0b688-3839-48ac-99e8-2d38f8985c16 user=SA
2023-12-26 09:32:44.931 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2023-12-26 09:32:44.964 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
